Loading Case (lbs),F0 (lbf),F1 (lbf),F2 (lbf),F3D (lbf),LVDT (in)
0.000,-0.001,0.013,0.006,-85.638,-0.000
0.000,0.000,0.015,0.004,-85.737,0.000
0.000,-0.003,0.036,0.010,-85.723,-0.000
0.000,-0.000,0.019,-0.001,-85.791,-0.000
0.000,-0.004,0.019,-0.008,-85.702,0.000
0.000,-0.002,0.018,-0.001,-85.615,0.000
0.000,-0.012,-0.003,-0.010,-85.793,0.000
0.000,-0.011,0.004,-0.010,-85.817,-0.000
0.000,-0.005,0.017,-0.007,-85.679,0.000
0.000,-0.012,0.011,-0.014,-85.593,0.000
20.000,6.797,3.761,10.216,-76.312,0.010
20.000,6.801,3.759,10.212,-76.179,0.010
20.000,6.792,3.752,10.213,-75.936,0.010
20.000,6.793,3.748,10.212,-76.086,0.010
20.000,6.796,3.761,10.211,-76.210,0.010
20.000,6.801,3.761,10.221,-76.068,0.010
20.000,6.801,3.779,10.213,-75.985,0.010
20.000,6.796,3.761,10.209,-76.032,0.010
20.000,6.806,3.771,10.218,-76.098,0.010
20.000,6.795,3.757,10.214,-76.055,0.010
40.000,12.775,8.461,20.481,-65.660,0.020
40.000,12.765,8.461,20.496,-65.943,0.020
40.000,12.772,8.470,20.481,-65.793,0.020
40.000,12.774,8.465,20.479,-65.788,0.020
40.000,12.767,8.459,20.486,-65.642,0.020
40.000,12.765,8.467,20.487,-65.892,0.020
40.000,12.770,8.456,20.482,-65.866,0.020
40.000,12.768,8.449,20.484,-65.744,0.020
40.000,12.767,8.451,20.474,-65.719,0.020
40.000,12.760,8.457,20.481,-65.585,0.020
60.000,19.902,12.069,30.821,-53.821,0.031
60.000,19.900,12.079,30.816,-53.815,0.031
60.000,19.899,12.092,30.825,-53.853,0.031
60.000,19.903,12.066,30.822,-53.689,0.031
60.000,19.904,12.066,30.834,-53.813,0.031
60.000,19.912,12.075,30.821,-53.767,0.031
60.000,19.909,12.066,30.821,-53.856,0.031
60.000,19.906,12.087,30.826,-53.607,0.031
60.000,19.906,12.087,30.820,-53.690,0.031
60.000,19.904,12.076,30.828,-53.778,0.031
40.000,12.869,8.447,20.495,-62.344,0.022
40.000,12.862,8.456,20.498,-62.122,0.022
40.000,12.873,8.457,20.498,-62.390,0.022
40.000,12.870,8.461,20.501,-62.267,0.022
40.000,12.877,8.456,20.502,-62.504,0.022
40.000,12.876,8.472,20.502,-62.256,0.022
40.000,12.871,8.464,20.503,-62.373,0.022
40.000,12.869,8.460,20.502,-62.489,0.022
40.000,12.872,8.458,20.500,-62.264,0.022
40.000,12.873,8.443,20.502,-62.294,0.022
20.000,6.937,3.832,10.235,-72.442,0.012
20.000,6.933,3.841,10.237,-72.556,0.012
20.000,6.948,3.849,10.242,-72.329,0.012
20.000,6.943,3.851,10.246,-72.365,0.012
20.000,6.942,3.853,10.241,-72.559,0.012
20.000,6.938,3.828,10.235,-72.437,0.012
20.000,6.937,3.842,10.230,-72.406,0.012
20.000,6.931,3.839,10.230,-72.374,0.012
20.000,6.944,3.831,10.233,-72.493,0.012
20.000,6.935,3.843,10.239,-72.431,0.012
0.000,-0.006,-0.000,0.010,-85.553,0.000
0.000,0.008,-0.085,-0.010,-85.639,0.000
0.000,0.011,0.165,0.007,-85.818,0.000
0.000,0.012,0.110,0.012,-85.590,0.000
0.000,-0.010,0.046,0.016,-85.555,0.000
0.000,-0.010,0.025,0.020,-85.578,0.000
0.000,-0.002,0.108,0.005,-85.875,0.000
0.000,0.009,0.133,0.004,-85.514,0.000
0.000,0.025,0.132,0.014,-84.691,0.000
0.000,-0.001,-0.078,0.003,-85.611,0.000
